NO_ID_PRO,TITRE_PRODUCTION,REALISATEUR,ANNEE_PROD,PERIODE_DE,PERIODE_AU,NB_JOURTOURNAGEMONTREAL,NB_JOURTOURNAGEVIEUXMONTREAL,NOM_TYPEPRODUCTION,NOM_PROVENANCE,NO_TYPEPRODUCTION,NO_PROVENANCE
4606,TODAY SHOW,Wayne O'Donnell,2004,2004-09-21,2004-09-21,1,1,Télévision générale,Etrangère,14,7
4607,DIVERS PUBS,variable,2004,2004-09-20,2004-12-31,0,0,Message publicitaire,Canadienne,15,6
4608,Canada Savings Bonds,Christopher Gordaneer,2004,2004-09-23,2004-09-24,1,0,Message publicitaire,Canadienne,15,6
4609,LES VRAIES AFFAIRES,Nathalie Ermont,2004,2004-10-02,2004-10-03,2,0,Court métrage,Canadienne,16,6
4610,LE CUR A SES RAISONS,Alain Chicoine,2004,2004-09-16,2005-03-24,28,0,Série télévisée,Canadienne,13,6
4614,MODERN LOVE,Jacques Fournier,2004,2004-10-16,2004-11-26,28,0,Long métrage,Canadienne,11,6
4615,TRISTAN ET CIE & LE VRAI MONDE,Manuel Lessard,2004,2004-10-02,2004-10-15,5,0,Court métrage,Canadienne,16,6
4616,LE PROCÈS,Constant Mentzas,2004,2004-09-30,2004-10-06,6,0,Court métrage,Canadienne,16,6
4617,SMART MERCEDEZ,Alex Franchi,2004,2004-09-24,2004-09-24,1,0,Message publicitaire,Canadienne,15,6
4618,NICODERM,SEAN ANICIC,2004,2004-09-27,2004-09-27,1,0,Message publicitaire,Canadienne,15,6
4619,DIVERS,,2004,2004-09-22,2004-12-31,0,0,Vidéo,Canadienne,17,6
4620,LUC DE LA ROCHELIÈRE - AÉROPLANE,Jean-François Pilon,2004,2004-09-26,2004-09-26,1,0,Vidéo,Canadienne,17,6
4621,LEXUS,Maw Sen Huang,2004,2004-09-26,2004-10-03,6,1,Publicité étrangère,Etrangère,21,7
4622,BOULANGERIE GADOUA,Jean-François Bernier,2004,2004-10-04,2004-10-06,3,0,Message publicitaire,Canadienne,15,6
4623,Tim Hortons,Richard Ciupka,2004,2004-10-05,2004-10-05,1,0,Message publicitaire,Canadienne,15,6
4624,DIVERS,,2004,2004-09-24,2004-12-31,0,0,Photographie,Canadienne,18,6
4625,LUCK MERVIL,Elaine Dumont,2004,2004-10-05,2004-10-06,2,0,Vidéo,Canadienne,17,6
4630,TOURISME AFFAIRE,Viateur Castonguay,2004,2004-09-29,2004-10-05,4,1,Photographie,Canadienne,18,6
4631,PIED-DE-BICHE et TALONS AIGUILLES,"Rachel Verdon, Robert Favreau",2004,2004-08-31,2004-10-15,13,0,Télévision générale,Canadienne,14,6
4633,Les pieds dans la marge (ÉCART DE CONDUITE),"P.Ouimet, J-S Busque, F.Tanguay",2004,2004-10-11,2004-12-31,90,0,Télévision générale,Canadienne,14,6
4634,COUPEZ,Samuel Greffe-Bélanger,2004,2004-10-11,2004-10-13,2,1,Court métrage,Canadienne,16,6
4635,CRIMES OF PASSION (Twist),Richard Roy,2004,2004-10-04,2004-11-01,16,1,Téléfilm,Canadienne,12,6
4636,Minuit le soir,Podz (Daniel Grou),2004,2004-10-04,2004-12-20,41,0,Série télévisée,Canadienne,13,6
4637,PAPA DE PERSONNE,Momo,2004,2004-10-13,2004-10-14,1,0,Vidéo,Canadienne,17,6
4638,LA MIGRATION (provisoire),Dominique Samson,2004,2004-10-14,2004-10-20,6,0,Film étudiant,Canadienne,19,6
4639,INSPIRATION,Amélie Dussault,2004,2004-10-07,2004-12-31,4,1,Télévision générale,Canadienne,14,6
4640,Il ne manque que l'amour,Momo,2004,2004-10-07,2004-10-07,1,0,Vidéo,Canadienne,17,6
4641,HUNT FOR JUSTICE: LOUISE ARBOUR STORY (Endgame in Kosovo),Charles Binamé,2004,2004-10-23,2004-11-13,16,5,Téléfilm,Coproduction,12,8
4642,SPORT EXPERT,Photographe : Pierre Lavigne,2004,2004-10-06,2004-10-07,1,0,Photographie,Canadienne,18,6
4644,TRUST,Bernard Lafontaine,2004,2004-10-15,2004-12-05,9,1,Court métrage,Canadienne,16,6
4646,MAGAZINE CHRYSLER,Katrine Naleid,2004,2004-10-06,2004-10-07,2,2,Photographie,Canadienne,18,6
4648,THE TOURNAMENT,Trent Carlson,2004,2004-10-12,2004-11-13,0,0,Série télévisée,Canadienne,13,6
4649,ÇA VA ÊTRE TA FÊTE,Alain Lévesque,2004,2004-10-08,2004-12-31,0,0,Télévision générale,Canadienne,14,6
4650,CTC-AIR Canada,Jean-Marc Piché,2004,2004-10-12,2004-10-12,1,1,Message publicitaire,Canadienne,15,6
4652,SMART,Alex Franchi,2004,2004-10-13,2004-10-13,1,0,Message publicitaire,Canadienne,15,6
4654,ONE DEAD INDIAN,Tim Southam,2004,2004-10-04,2004-11-01,2,0,Téléfilm,Canadienne,12,6
